image_path,student_id,group,split,aug_type,field,gt_value,cer,correct
images/original/th/71010001.png,71010001,th,original,none,student_id,71010001,0.0,True
images/original/th/71010001.png,71010001,th,original,none,prename,นางสาว,0.0,True
images/original/th/71010001.png,71010001,th,original,none,name,วศ1วิศวกรรมศาสตร์1,0.0,True
images/original/th/71010001.png,71010001,th,original,none,faculty_name,คณะวิศวกรรมศาสตร์,0.17647058823529413,True
images/original/th/71010001.png,71010001,th,original,none,degree,วิทยาศาสตรบัณฑิต,0.0,True
images/original/th/71010001.png,71010001,th,original,none,program,การจัดการวิศวกรรมและเทคโนโลยี(หลักสูตรนานาชาติ),0.0,True
images/original/th/71010001.png,71010001,th,original,none,date_of_birth,1999-09-03,0.8,False
images/original/th/71010001.png,71010001,th,original,none,admis_date,2018-08-06,0.6,False
images/augmented/th/71010001_aug1_rotate_bright.png,71010001,th,augmented,rotate_bright,student_id,71010001,0.0,True
images/augmented/th/71010001_aug1_rotate_bright.png,71010001,th,augmented,rotate_bright,prename,นางสาว,0.0,True
images/augmented/th/71010001_aug1_rotate_bright.png,71010001,th,augmented,rotate_bright,name,วศ1วิศวกรรมศาสตร์1,0.0,True
images/augmented/th/71010001_aug1_rotate_bright.png,71010001,th,augmented,rotate_bright,faculty_name,คณะวิศวกรรมศาสตร์,0.0,True
images/augmented/th/71010001_aug1_rotate_bright.png,71010001,th,augmented,rotate_bright,degree,วิทยาศาสตรบัณฑิต,0.0,True
images/augmented/th/71010001_aug1_rotate_bright.png,71010001,th,augmented,rotate_bright,program,การจัดการวิศวกรรมและเทคโนโลยี(หลักสูตรนานาชาติ),0.0,True
images/augmented/th/71010001_aug1_rotate_bright.png,71010001,th,augmented,rotate_bright,date_of_birth,1999-09-03,0.8,False
images/augmented/th/71010001_aug1_rotate_bright.png,71010001,th,augmented,rotate_bright,admis_date,2018-08-06,0.6,False
images/augmented/th/71010001_aug2_noise.png,71010001,th,augmented,noise,student_id,71010001,0.0,True
images/augmented/th/71010001_aug2_noise.png,71010001,th,augmented,noise,prename,นางสาว,0.0,True
images/augmented/th/71010001_aug2_noise.png,71010001,th,augmented,noise,name,วศ1วิศวกรรมศาสตร์1,0.0,True
images/augmented/th/71010001_aug2_noise.png,71010001,th,augmented,noise,faculty_name,คณะวิศวกรรมศาสตร์,0.11764705882352941,True
images/augmented/th/71010001_aug2_noise.png,71010001,th,augmented,noise,degree,วิทยาศาสตรบัณฑิต,0.0,True
images/augmented/th/71010001_aug2_noise.png,71010001,th,augmented,noise,program,การจัดการวิศวกรรมและเทคโนโลยี(หลักสูตรนานาชาติ),0.0,True
images/augmented/th/71010001_aug2_noise.png,71010001,th,augmented,noise,date_of_birth,1999-09-03,0.8,False
images/augmented/th/71010001_aug2_noise.png,71010001,th,augmented,noise,admis_date,2018-08-06,0.6,False
images/augmented/th/71010001_aug3_blur_contrast.png,71010001,th,augmented,blur_contrast,student_id,71010001,0.0,True
images/augmented/th/71010001_aug3_blur_contrast.png,71010001,th,augmented,blur_contrast,prename,นางสาว,0.0,True
images/augmented/th/71010001_aug3_blur_contrast.png,71010001,th,augmented,blur_contrast,name,วศ1วิศวกรรมศาสตร์1,0.0,True
images/augmented/th/71010001_aug3_blur_contrast.png,71010001,th,augmented,blur_contrast,faculty_name,คณะวิศวกรรมศาสตร์,0.11764705882352941,True
images/augmented/th/71010001_aug3_blur_contrast.png,71010001,th,augmented,blur_contrast,degree,วิทยาศาสตรบัณฑิต,0.0,True
images/augmented/th/71010001_aug3_blur_contrast.png,71010001,th,augmented,blur_contrast,program,การจัดการวิศวกรรมและเทคโนโลยี(หลักสูตรนานาชาติ),0.0,True
images/augmented/th/71010001_aug3_blur_contrast.png,71010001,th,augmented,blur_contrast,date_of_birth,1999-09-03,0.8,False
images/augmented/th/71010001_aug3_blur_contrast.png,71010001,th,augmented,blur_contrast,admis_date,2018-08-06,0.6,False
images/augmented/th/71010001_aug4_perspective.png,71010001,th,augmented,perspective,student_id,71010001,0.0,True
images/augmented/th/71010001_aug4_perspective.png,71010001,th,augmented,perspective,prename,นางสาว,0.0,True
images/augmented/th/71010001_aug4_perspective.png,71010001,th,augmented,perspective,name,วศ1วิศวกรรมศาสตร์1,0.05555555555555555,True
images/augmented/th/71010001_aug4_perspective.png,71010001,th,augmented,perspective,faculty_name,คณะวิศวกรรมศาสตร์,0.058823529411764705,True
images/augmented/th/71010001_aug4_perspective.png,71010001,th,augmented,perspective,degree,วิทยาศาสตรบัณฑิต,0.0,True
images/augmented/th/71010001_aug4_perspective.png,71010001,th,augmented,perspective,program,การจัดการวิศวกรรมและเทคโนโลยี(หลักสูตรนานาชาติ),0.3617021276595745,False
images/augmented/th/71010001_aug4_perspective.png,71010001,th,augmented,perspective,date_of_birth,1999-09-03,0.8,False
images/augmented/th/71010001_aug4_perspective.png,71010001,th,augmented,perspective,admis_date,2018-08-06,0.6,False
images/augmented/th/71010001_aug5_jpeg_dark.png,71010001,th,augmented,jpeg_dark,student_id,71010001,0.0,True
images/augmented/th/71010001_aug5_jpeg_dark.png,71010001,th,augmented,jpeg_dark,prename,นางสาว,0.0,True
images/augmented/th/71010001_aug5_jpeg_dark.png,71010001,th,augmented,jpeg_dark,name,วศ1วิศวกรรมศาสตร์1,0.0,True
images/augmented/th/71010001_aug5_jpeg_dark.png,71010001,th,augmented,jpeg_dark,faculty_name,คณะวิศวกรรมศาสตร์,0.058823529411764705,True
images/augmented/th/71010001_aug5_jpeg_dark.png,71010001,th,augmented,jpeg_dark,degree,วิทยาศาสตรบัณฑิต,0.0625,True
images/augmented/th/71010001_aug5_jpeg_dark.png,71010001,th,augmented,jpeg_dark,program,การจัดการวิศวกรรมและเทคโนโลยี(หลักสูตรนานาชาติ),0.0,True
images/augmented/th/71010001_aug5_jpeg_dark.png,71010001,th,augmented,jpeg_dark,date_of_birth,1999-09-03,0.7,False
images/augmented/th/71010001_aug5_jpeg_dark.png,71010001,th,augmented,jpeg_dark,admis_date,2018-08-06,0.6,False
images/original/th/71010005.png,71010005,th,original,none,student_id,71010005,0.0,True
images/original/th/71010005.png,71010005,th,original,none,prename,นางสาว,0.0,True
images/original/th/71010005.png,71010005,th,original,none,name,วศ5วิศวกรรมศาสตร์5,0.0,True
images/original/th/71010005.png,71010005,th,original,none,faculty_name,คณะวิศวกรรมศาสตร์,0.11764705882352941,True
images/original/th/71010005.png,71010005,th,original,none,degree,วิทยาศาสตรบัณฑิต,0.0,True
images/original/th/71010005.png,71010005,th,original,none,program,การจัดการวิศวกรรมและเทคโนโลยี(หลักสูตรนานาชาติ),0.0,True
images/original/th/71010005.png,71010005,th,original,none,date_of_birth,2000-04-08,0.6,False
images/original/th/71010005.png,71010005,th,original,none,admis_date,2018-08-06,0.6,False
images/augmented/th/71010005_aug1_rotate_bright.png,71010005,th,augmented,rotate_bright,student_id,71010005,0.0,True
images/augmented/th/71010005_aug1_rotate_bright.png,71010005,th,augmented,rotate_bright,prename,นางสาว,0.0,True
images/augmented/th/71010005_aug1_rotate_bright.png,71010005,th,augmented,rotate_bright,name,วศ5วิศวกรรมศาสตร์5,0.0,True
images/augmented/th/71010005_aug1_rotate_bright.png,71010005,th,augmented,rotate_bright,faculty_name,คณะวิศวกรรมศาสตร์,0.0,True
images/augmented/th/71010005_aug1_rotate_bright.png,71010005,th,augmented,rotate_bright,degree,วิทยาศาสตรบัณฑิต,0.0,True
images/augmented/th/71010005_aug1_rotate_bright.png,71010005,th,augmented,rotate_bright,program,การจัดการวิศวกรรมและเทคโนโลยี(หลักสูตรนานาชาติ),0.0,True
images/augmented/th/71010005_aug1_rotate_bright.png,71010005,th,augmented,rotate_bright,date_of_birth,2000-04-08,0.6,False
images/augmented/th/71010005_aug1_rotate_bright.png,71010005,th,augmented,rotate_bright,admis_date,2018-08-06,0.6,False
images/augmented/th/71010005_aug2_noise.png,71010005,th,augmented,noise,student_id,71010005,0.0,True
images/augmented/th/71010005_aug2_noise.png,71010005,th,augmented,noise,prename,นางสาว,0.0,True
images/augmented/th/71010005_aug2_noise.png,71010005,th,augmented,noise,name,วศ5วิศวกรรมศาสตร์5,0.0,True
images/augmented/th/71010005_aug2_noise.png,71010005,th,augmented,noise,faculty_name,คณะวิศวกรรมศาสตร์,0.17647058823529413,True
images/augmented/th/71010005_aug2_noise.png,71010005,th,augmented,noise,degree,วิทยาศาสตรบัณฑิต,0.0,True
images/augmented/th/71010005_aug2_noise.png,71010005,th,augmented,noise,program,การจัดการวิศวกรรมและเทคโนโลยี(หลักสูตรนานาชาติ),0.0,True
images/augmented/th/71010005_aug2_noise.png,71010005,th,augmented,noise,date_of_birth,2000-04-08,0.6,False
images/augmented/th/71010005_aug2_noise.png,71010005,th,augmented,noise,admis_date,2018-08-06,0.6,False
images/augmented/th/71010005_aug3_blur_contrast.png,71010005,th,augmented,blur_contrast,student_id,71010005,0.0,True
images/augmented/th/71010005_aug3_blur_contrast.png,71010005,th,augmented,blur_contrast,prename,นางสาว,0.0,True
images/augmented/th/71010005_aug3_blur_contrast.png,71010005,th,augmented,blur_contrast,name,วศ5วิศวกรรมศาสตร์5,0.0,True
images/augmented/th/71010005_aug3_blur_contrast.png,71010005,th,augmented,blur_contrast,faculty_name,คณะวิศวกรรมศาสตร์,0.11764705882352941,True
images/augmented/th/71010005_aug3_blur_contrast.png,71010005,th,augmented,blur_contrast,degree,วิทยาศาสตรบัณฑิต,0.0,True
images/augmented/th/71010005_aug3_blur_contrast.png,71010005,th,augmented,blur_contrast,program,การจัดการวิศวกรรมและเทคโนโลยี(หลักสูตรนานาชาติ),0.0,True
images/augmented/th/71010005_aug3_blur_contrast.png,71010005,th,augmented,blur_contrast,date_of_birth,2000-04-08,0.7,False
images/augmented/th/71010005_aug3_blur_contrast.png,71010005,th,augmented,blur_contrast,admis_date,2018-08-06,0.7,False
images/augmented/th/71010005_aug4_perspective.png,71010005,th,augmented,perspective,student_id,71010005,0.0,True
images/augmented/th/71010005_aug4_perspective.png,71010005,th,augmented,perspective,prename,นางสาว,0.0,True
images/augmented/th/71010005_aug4_perspective.png,71010005,th,augmented,perspective,name,วศ5วิศวกรรมศาสตร์5,0.0,True
images/augmented/th/71010005_aug4_perspective.png,71010005,th,augmented,perspective,faculty_name,คณะวิศวกรรมศาสตร์,0.0,True
images/augmented/th/71010005_aug4_perspective.png,71010005,th,augmented,perspective,degree,วิทยาศาสตรบัณฑิต,0.0,True
images/augmented/th/71010005_aug4_perspective.png,71010005,th,augmented,perspective,program,การจัดการวิศวกรรมและเทคโนโลยี(หลักสูตรนานาชาติ),0.0,True
images/augmented/th/71010005_aug4_perspective.png,71010005,th,augmented,perspective,date_of_birth,2000-04-08,0.6,False
images/augmented/th/71010005_aug4_perspective.png,71010005,th,augmented,perspective,admis_date,2018-08-06,0.6,False
images/augmented/th/71010005_aug5_jpeg_dark.png,71010005,th,augmented,jpeg_dark,student_id,71010005,0.0,True
images/augmented/th/71010005_aug5_jpeg_dark.png,71010005,th,augmented,jpeg_dark,prename,นางสาว,0.0,True
images/augmented/th/71010005_aug5_jpeg_dark.png,71010005,th,augmented,jpeg_dark,name,วศ5วิศวกรรมศาสตร์5,0.0,True
images/augmented/th/71010005_aug5_jpeg_dark.png,71010005,th,augmented,jpeg_dark,faculty_name,คณะวิศวกรรมศาสตร์,0.17647058823529413,True
images/augmented/th/71010005_aug5_jpeg_dark.png,71010005,th,augmented,jpeg_dark,degree,วิทยาศาสตรบัณฑิต,0.0,True
images/augmented/th/71010005_aug5_jpeg_dark.png,71010005,th,augmented,jpeg_dark,program,การจัดการวิศวกรรมและเทคโนโลยี(หลักสูตรนานาชาติ),0.0,True
images/augmented/th/71010005_aug5_jpeg_dark.png,71010005,th,augmented,jpeg_dark,date_of_birth,2000-04-08,0.6,False
images/augmented/th/71010005_aug5_jpeg_dark.png,71010005,th,augmented,jpeg_dark,admis_date,2018-08-06,0.6,False
images/original/th/71010009.png,71010009,th,original,none,student_id,71010009,0.0,True
images/original/th/71010009.png,71010009,th,original,none,prename,นาย,0.0,True
images/original/th/71010009.png,71010009,th,original,none,name,วศ9วิศวกรรมศาสตร์9,0.0,True
images/original/th/71010009.png,71010009,th,original,none,faculty_name,คณะวิศวกรรมศาสตร์,0.11764705882352941,True
images/original/th/71010009.png,71010009,th,original,none,degree,วิศวกรรมศาสตรบัณฑิต,0.0,True
images/original/th/71010009.png,71010009,th,original,none,program,วิศวกรรมโทรคมนาคม,0.0,True
images/original/th/71010009.png,71010009,th,original,none,date_of_birth,1996-08-10,0.7,False
images/original/th/71010009.png,71010009,th,original,none,admis_date,2018-08-06,0.6,False
images/augmented/th/71010009_aug1_rotate_bright.png,71010009,th,augmented,rotate_bright,student_id,71010009,0.0,True
images/augmented/th/71010009_aug1_rotate_bright.png,71010009,th,augmented,rotate_bright,prename,นาย,0.0,True
images/augmented/th/71010009_aug1_rotate_bright.png,71010009,th,augmented,rotate_bright,name,วศ9วิศวกรรมศาสตร์9,0.05555555555555555,True
images/augmented/th/71010009_aug1_rotate_bright.png,71010009,th,augmented,rotate_bright,faculty_name,คณะวิศวกรรมศาสตร์,0.11764705882352941,True
images/augmented/th/71010009_aug1_rotate_bright.png,71010009,th,augmented,rotate_bright,degree,วิศวกรรมศาสตรบัณฑิต,0.15789473684210525,True
images/augmented/th/71010009_aug1_rotate_bright.png,71010009,th,augmented,rotate_bright,program,วิศวกรรมโทรคมนาคม,0.0,True
images/augmented/th/71010009_aug1_rotate_bright.png,71010009,th,augmented,rotate_bright,date_of_birth,1996-08-10,0.7,False
images/augmented/th/71010009_aug1_rotate_bright.png,71010009,th,augmented,rotate_bright,admis_date,2018-08-06,0.6,False
images/augmented/th/71010009_aug2_noise.png,71010009,th,augmented,noise,student_id,71010009,0.0,True
images/augmented/th/71010009_aug2_noise.png,71010009,th,augmented,noise,prename,นาย,0.0,True
images/augmented/th/71010009_aug2_noise.png,71010009,th,augmented,noise,name,วศ9วิศวกรรมศาสตร์9,0.0,True
images/augmented/th/71010009_aug2_noise.png,71010009,th,augmented,noise,faculty_name,คณะวิศวกรรมศาสตร์,0.11764705882352941,True
images/augmented/th/71010009_aug2_noise.png,71010009,th,augmented,noise,degree,วิศวกรรมศาสตรบัณฑิต,0.0,True
images/augmented/th/71010009_aug2_noise.png,71010009,th,augmented,noise,program,วิศวกรรมโทรคมนาคม,0.0,True
images/augmented/th/71010009_aug2_noise.png,71010009,th,augmented,noise,date_of_birth,1996-08-10,0.6,False
images/augmented/th/71010009_aug2_noise.png,71010009,th,augmented,noise,admis_date,2018-08-06,0.6,False
images/augmented/th/71010009_aug3_blur_contrast.png,71010009,th,augmented,blur_contrast,student_id,71010009,0.0,True
images/augmented/th/71010009_aug3_blur_contrast.png,71010009,th,augmented,blur_contrast,prename,นาย,0.0,True
images/augmented/th/71010009_aug3_blur_contrast.png,71010009,th,augmented,blur_contrast,name,วศ9วิศวกรรมศาสตร์9,0.0,True
images/augmented/th/71010009_aug3_blur_contrast.png,71010009,th,augmented,blur_contrast,faculty_name,คณะวิศวกรรมศาสตร์,0.0,True
images/augmented/th/71010009_aug3_blur_contrast.png,71010009,th,augmented,blur_contrast,degree,วิศวกรรมศาสตรบัณฑิต,0.0,True
images/augmented/th/71010009_aug3_blur_contrast.png,71010009,th,augmented,blur_contrast,program,วิศวกรรมโทรคมนาคม,0.0,True
images/augmented/th/71010009_aug3_blur_contrast.png,71010009,th,augmented,blur_contrast,date_of_birth,1996-08-10,0.6,False
images/augmented/th/71010009_aug3_blur_contrast.png,71010009,th,augmented,blur_contrast,admis_date,2018-08-06,0.6,False
images/augmented/th/71010009_aug4_perspective.png,71010009,th,augmented,perspective,student_id,71010009,0.0,True
images/augmented/th/71010009_aug4_perspective.png,71010009,th,augmented,perspective,prename,นาย,0.0,True
images/augmented/th/71010009_aug4_perspective.png,71010009,th,augmented,perspective,name,วศ9วิศวกรรมศาสตร์9,0.0,True
images/augmented/th/71010009_aug4_perspective.png,71010009,th,augmented,perspective,faculty_name,คณะวิศวกรรมศาสตร์,0.058823529411764705,True
images/augmented/th/71010009_aug4_perspective.png,71010009,th,augmented,perspective,degree,วิศวกรรมศาสตรบัณฑิต,0.0,True
images/augmented/th/71010009_aug4_perspective.png,71010009,th,augmented,perspective,program,วิศวกรรมโทรคมนาคม,0.0,True
images/augmented/th/71010009_aug4_perspective.png,71010009,th,augmented,perspective,date_of_birth,1996-08-10,0.7,False
images/augmented/th/71010009_aug4_perspective.png,71010009,th,augmented,perspective,admis_date,2018-08-06,0.6,False
images/augmented/th/71010009_aug5_jpeg_dark.png,71010009,th,augmented,jpeg_dark,student_id,71010009,0.0,True
